#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
castlill;미키마우스: 환상의 성 대모험;MAME Genesis;Castle of Illusion Starring Mickey Mouse (1990,Disney,AT)(UE);1990;SEGA;Action;1;;;;;;;;4MB;
worldillu;미키와 도날드: 환상의 세계 ;MAME Genesis;World of Illusion Starring Mickey Mouse & Donald Duck (1992)(Sega)(US);1992;SEGA;Action;2;;;;;;;;8MB;
greatcirj;미키와 미니의 매지컬 어드벤처 2;MAME megadrij;mickeycm;1994;Capcom;Action;1;;;;;;;;16MB;
Valis III (K);바리스 III (한글판);SEGA Mega Drive;;1991;Renovation;Action;1;;;;;;;;8MB;
Valis SD (K);바리스 SD (한글판);SEGA Mega Drive;;1992;Laser Soft;Action;1;;;;;;;;4MB;
batmanu;배트맨;MAME Genesis;Batman (1991,Sun Soft,AT)(U);1990;Sunsoft;Action;1;;;;;;;;4MB;
advbatru;배트맨과 로빈의 모험;MAME Genesis;Adventures of Batman & Robin, The (USA);1995;SEGA;Action;1;;;;;;;;16MB;
btlmanid;배틀매니아 대음양;MAME megadrij;Battle Mania Daiginjou (Japan, Korea);1993;Vic Tokai;Shooting;1;;;;;;;;8MB;
vrdxu;버추어 레이싱 디럭스 [32X];MAME 32x;vrdx;1994;SEGA;Racing;1;;;;;;;;24MB;
vfju;버추어 파이터 [32X];32X Fusion;vf;1995;SEGA;VS Fight;1;;;;;;;;32MB;
verytex;베리텍스;MAME megadrij;;1991;Asmik;Shooting;1;;;;;;;;4MB;
sor;베어너클 I : 분노의 철권;MAME megadrij;Streets of Rage (1991,Sega,AT)(W)(Rev.01);1991;SEGA;Arcade;2;;;;;;;;4MB;
Streets of Rage 2 Return of Fighter 2019 (USA)(Hack);베어너클 II - 리턴 오브 파이터 2019;SEGA Genesis;sor2;2019;SEGA;Arcade;2;;;;;;;;16MB;
Streets of Rage 2 SailorMoon (USA)(Hack);베어너클 II - 세일러문 버전;SEGA Genesis;sor2;2018;SEGA;Arcade;2;;;;;;;;16MB;
Street of Rage 2 with Street Fighter (USA)(Hack);베어너클 II - 스트리트 파이터 류 버전;SEGA Genesis;sor2;2018;SEGA;Arcade;2;;;;;;;;16MB;
