#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Dynasty Warriors - Gundam 2 (Japan);건담무쌍 2;PS2;Dynasty Warriors - Gundam 2 (USA);2008;Tecmo;Action;1;;;;;;;;일본어;;;;;
#Genji (K);겐지;PS2;Genji - Dawn Of The Samurai (USA);2005;Game Republic;Action;1;;;;;;;;한국어;;;;;
Ghost in the Shell - Stand Alone Complex (K);공각기동대 - SAC;PS2;Ghost in the Shell - Stand Alone Complex (USA);2004;Badai;Action;1;;;;;;;;한국어;;;;;
#Katamari Damacy 2 (K);괴혼 2: 데굴데굴~ 쫀득쫀득~ 괴혼;PS2;;2005;Namco;Puzzle;1;;;;;;;;한국어;;;;;
Katamari Damacy (K);괴혼: 굴려라 왕자님!;PS2;Katamari Damacy (USA);2003;Namco;Puzzle;1;;;;;;;;한국어;;;;;
Kuon (K);구온;PS2;Kuon (USA);2004;FromSoftware;Survival Horror;1;;;;;;;;한국어;;;;;
#Onimusha 2 Samurai's Destiny;귀무자 2;PS2;Onimusha 2 - Samurai's Destiny (USA);2002;Capcom;Action;1;;;;;;;;한국어;;;;;
Onimusha 3 - Demon Siege;귀무자 3;PS2;Onimusha 3 - Demon Siege (USA);2004;Capcom;Action;1;;;;;;;;영어;;;;;
#Onimusha 3 - Demon Siege (K);귀무자 3;PS2;Onimusha 3 - Demon Siege (USA);2004;Capcom;Action;1;;;;;;;;한국어;;;;;
#Onimusha 3 - Demon Siege (USA);귀무자 3 (미국판);PS2;Onimusha 3 - Demon Siege (USA);2004;Capcom;Action;1;;;;;;;;영어;;;;;
#Gradius V (USA);그라디우스 5;PS2;Gradius V (USA);2004;Konami;Shooting;1;;;;;;;;영어;;;;;
Gran Turismo 4 (USA);그란 투리스모 4;PS2;Gran Turismo 4 (USA);2004;Polyphony Digital;Racing;1;;;;;;;;영어;;;;;
#Gregory Horror Show (K);그레고리 호러 쇼;PS2;Gregory Horror Show (Europe);2006;Capcom;Horror Adventure;1;;;;;;;;한국어;;;;;
#Grow Lanser 3;그로우 랜서 3;PS2;Growlanser Generations (USA) (Disc 1);2001;Atlus;RPG;1;;;;;;;;한국어;;;;;
Mobile Suit Gundam - Gundam vs. Zeta Gundam (USA);기동전사 건담 - 건담 Vs. 제타 건담;PS2;Mobile Suit Gundam - Gundam vs. Zeta Gundam (USA);2005;Capcom;Shooting;1;;;;;;;;영어;;;;;
MS Gundam Seed Never Ending Tomorrow (K);기동전사 건담 시드 - 끝나지 않은 내일로;PS2;Mobile Suit Gundam Seed - Never Ending Tomorrow (USA);2005;Badai;Shooting;1;;;;;;;;한국어;;;;;
#Kidou Senshi Gundam Seed Destiny - Rengou vs. Z.A.F.T. II Plus (Japan);기동전사 건담 시드 연합 Vs. 자프트 2 플러스 (일본판);PS2;;2006;Capcom;Fighting;2;;;;;;;;일본어;;;;;
MS Gundam Lost War Chronicles (K);기동전사 건담 전기;PS2;0;2003;Badai;Action;1;;;;;;;;한국어;;;;;
Naruto Ultimate Ninja Heroes;나루토 나루티밋 히어로즈;PS2;0;2006;Badai;Action;2;;;;;;;;한국어;;;;;
Naruto Uzumaki Chronicles;나루토 나뭇잎 스피리츠;PS2;Naruto - Uzumaki Chronicles (USA);2006;Badai;Action;2;;;;;;;;한국어;;;;;
Naruto Uzumaki Chronicles 2;나루토 우즈마키 인전;PS2;Naruto - Uzumaki Chronicles 2 (USA);2005;Badai;Action;2;;;;;;;;한국어;;;;;
#Ninja Assault;닌자 어절트;PS2;Ninja Assault (USA);2002;SEGA;GunShooting;2;;;;;;;;한국어;;;;;
Demon Chaos (K);데몬 카오스;PS2;Demon Chaos (Europe);2005;Konami;Action;1;;;;;;;;한국어;;;;;
#Devil May Cry 1 (K);데빌 메이 크라이 1;PS2;Devil May Cry (USA);2001;Capcom;Action;1;;;;;;;;한국어;;;;;
#Devil May Cry 2 (K);데빌 메이 크라이 2;PS2;Devil May Cry 2 (USA) (Disc 1);2003;Capcom;Action;1;;;;;;;;한국어;;;;;
Devil May Cry 3 (K);데빌 메이 크라이 3;PS2;Devil May Cry 3 - Dante's Awakening (USA);2005;Capcom;Action;1;;;;;;;;한국어;;;;;
Dororo (K);도로로;PS2;0;2004;SEGA;Action;1;;;;;;;;한국어;;;;;
Dragonball Z Sparking Meteor (K);드래곤볼 Z 스파킹 메테오;PS2;DragonBall Z - Budokai Tenkaichi 3 (USA);2007;Badai;Fighting;2;;;;;;;;한국어;;;;;
#Demento (K);디멘토 / 혼팅 그라운드;PS2;Haunting Ground (USA);2005;Capcom;Horror Adventure;1;;;;;;;;한국어;;;;;
Raiden III;라이덴 3;PS2;Raiden III (USA);2005;MOSS;Shooting;2;;;;;;;;일본어;;;;;
Ratchet & Clank - Going Commando (K);라쳇 & 클랭크 2 - 공구전사 대박몰이;PS2;Ratchet & Clank - Going Commando (USA);2003;Sony;Action;1;;;;;;;;한국어;;;;;
Ratchet & Clank - Up Your Arsenal (K);라쳇 & 클랭크 3 - 공구전사 리로디드;PS2;Ratchet & Clank - Up Your Arsenal (USA);2004;Sony;Action;1;;;;;;;;한국어;;;;;
Ratchet - Deadlocked (K);라쳇 & 클랭크 4 - 공구전사 위기일발;PS2;Ratchet - Deadlocked (USA);2005;Sony;Action;1;;;;;;;;한국어;;;;;
Ratchet & Clank - Size Matters (K);라쳇 & 클랭크 5 - 공구들고 바캉스;PS2;Ratchet & Clank - Size Matters (USA);2008;Sony;Action;1;;;;;;;;한국어;;;;;
